,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,Agency_size,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
1,37,female,united states of america,Illinois,NA,no,yes,often,Small,no,yes,yes,not sure,no,yes,yes,somewhat easy,no,no,yes,yes,no,not sure,yes,no
2,44,male,united states of america,Indiana,NA,no,no,rarely,Big,no,no,not sure,no,not sure,not sure,not sure,not sure,not sure,no,no,no,no,no,not sure,no
3,32,male,canada,NA,NA,no,no,rarely,Small,no,yes,no,no,no,no,not sure,somewhat difficult,no,no,yes,yes,yes,yes,no,no
4,31,male,united kingdom,NA,NA,yes,yes,often,Small,no,yes,no,yes,no,no,no,somewhat difficult,yes,yes,yes,no,not sure,not sure,no,yes
5,31,male,united states of america,Texas,NA,no,no,never,Medium,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,no,yes,yes,yes,yes,not sure,no
6,33,male,united states of america,Tennessee,NA,yes,no,sometimes,Small,no,yes,yes,not sure,no,not sure,not sure,not sure,no,no,yes,yes,no,not sure,not sure,no
7,35,female,united states of america,Michigan,NA,yes,yes,sometimes,Small,yes,yes,no,no,no,no,no,somewhat difficult,not sure,not sure,yes,no,no,no,not sure,no
8,39,male,canada,NA,NA,no,no,never,Small,yes,yes,no,yes,no,no,yes,not sure,no,no,no,no,no,no,no,no
9,42,female,united states of america,Illinois,NA,yes,yes,sometimes,Medium,no,yes,yes,yes,no,no,no,very difficult,not sure,no,yes,yes,no,not sure,no,no
10,23,male,canada,NA,NA,no,no,never,Small,no,yes,not sure,no,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,yes,no
11,31,male,united states of america,Ohio,NA,no,yes,sometimes,Small,yes,yes,not sure,no,no,no,not sure,not sure,no,no,yes,yes,no,no,not sure,no
12,29,male,bulgaria,NA,NA,no,no,never,Medium,yes,yes,not sure,not sure,no,no,not sure,not sure,no,no,yes,yes,yes,yes,not sure,no
13,42,female,united states of america,California,NA,yes,yes,sometimes,Small,no,no,yes,yes,no,no,not sure,somewhat difficult,yes,yes,yes,yes,not sure,not sure,no,yes
14,36,male,united states of america,Connecticut,NA,yes,no,never,Medium,no,yes,not sure,not sure,no,not sure,not sure,not sure,no,no,yes,yes,no,no,not sure,no
15,27,male,canada,NA,NA,no,no,never,Small,no,yes,not sure,not sure,not sure,not sure,not sure,somewhat easy,no,no,yes,yes,not sure,yes,yes,no
16,29,female,united states of america,Illinois,NA,yes,yes,rarely,Small,no,yes,yes,not sure,no,no,not sure,somewhat easy,no,no,yes,yes,not sure,not sure,not sure,no
17,23,male,united kingdom,NA,NA,no,yes,sometimes,Small,yes,yes,not sure,no,not sure,not sure,not sure,very easy,not sure,no,yes,no,not sure,not sure,no,no
18,32,male,united states of america,Tennessee,NA,no,yes,sometimes,Small,no,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,yes,yes,no,no,no,no
19,46,male,united states of america,Maryland,yes,yes,no,sometimes,Small,yes,yes,yes,not sure,yes,not sure,yes,very easy,no,no,yes,yes,no,yes,yes,yes
20,36,male,france,NA,yes,yes,no,NA,Small,yes,yes,no,no,yes,no,yes,somewhat easy,no,no,yes,yes,not sure,not sure,not sure,no
21,29,male,united states of america,New York,no,yes,yes,sometimes,Medium,no,yes,yes,yes,no,no,no,somewhat difficult,not sure,no,yes,yes,no,no,no,no
22,31,male,united states of america,North Carolina,yes,no,no,never,Small,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,yes,yes,no,not sure,yes,no
23,46,male,united states of america,Massachusetts,no,no,yes,often,Small,yes,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,no,no
24,41,male,united states of america,Iowa,no,no,yes,never,Big,no,no,not sure,no,no,not sure,not sure,not sure,not sure,no,no,no,no,yes,not sure,no
25,33,male,united states of america,California,no,yes,yes,rarely,Small,no,yes,yes,not sure,not sure,yes,yes,not sure,no,no,yes,yes,no,yes,not sure,no
26,35,male,united states of america,Tennessee,no,yes,yes,sometimes,Big,no,no,yes,yes,no,not sure,no,very easy,yes,no,yes,yes,no,yes,no,no
27,33,male,united states of america,Tennessee,no,no,no,NA,Small,no,yes,not sure,not sure,no,not sure,not sure,not sure,not sure,not sure,yes,no,no,no,not sure,no
28,35,female,united states of america,California,no,yes,yes,rarely,Small,yes,yes,yes,yes,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,yes,no
29,34,male,united states of america,Ohio,no,no,yes,sometimes,Small,yes,yes,not sure,not sure,no,not sure,not sure,somewhat difficult,no,no,yes,no,no,no,no,no
30,37,male,united kingdom,NA,no,no,no,sometimes,Small,no,yes,no,no,no,no,not sure,very difficult,yes,not sure,yes,no,no,not sure,no,no
31,32,male,united kingdom,NA,no,no,no,never,Small,yes,yes,no,no,no,no,not sure,not sure,yes,yes,yes,yes,no,not sure,no,no
32,31,male,united states of america,Pennsylvania,yes,yes,no,rarely,Small,yes,yes,no,yes,no,no,not sure,somewhat difficult,yes,no,no,no,no,no,no,yes
33,30,male,united kingdom,NA,no,yes,yes,sometimes,Medium,yes,yes,not sure,no,no,no,yes,somewhat easy,not sure,no,yes,yes,no,yes,not sure,no
34,42,male,united states of america,Washington,no,yes,yes,sometimes,Small,yes,yes,yes,yes,yes,yes,yes,very easy,not sure,no,yes,yes,not sure,yes,not sure,no
35,40,female,united states of america,Wisconsin,no,no,yes,sometimes,Small,no,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,no,no,not sure,yes,no
36,27,male,united states of america,New York,no,no,yes,rarely,Small,no,yes,no,yes,no,no,not sure,very easy,no,no,yes,yes,not sure,not sure,not sure,no
37,29,male,canada,NA,no,no,no,rarely,Small,no,yes,no,no,no,no,not sure,very easy,yes,not sure,yes,no,no,no,not sure,no
38,38,male,portugal,NA,no,no,no,NA,Medium,no,yes,no,yes,no,no,not sure,somewhat easy,not sure,no,yes,yes,no,not sure,no,no
39,50,male,united states of america,Indiana,no,no,no,NA,Medium,no,yes,yes,yes,no,not sure,not sure,not sure,no,no,yes,yes,no,not sure,not sure,no
40,35,male,united states of america,Texas,no,no,yes,rarely,Big,yes,yes,yes,yes,no,yes,yes,very easy,no,no,yes,yes,not sure,not sure,yes,no
41,24,male,united kingdom,NA,no,no,yes,sometimes,Small,no,yes,no,no,no,no,not sure,not sure,not sure,not sure,yes,no,no,yes,no,yes
42,35,male,united states of america,Michigan,no,no,no,NA,Big,yes,yes,yes,not sure,not sure,yes,not sure,somewhat difficult,yes,yes,yes,no,no,not sure,not sure,no
43,27,male,canada,NA,no,yes,yes,sometimes,Small,no,yes,no,yes,no,no,yes,very difficult,not sure,no,yes,no,no,no,yes,no
44,18,male,netherlands,NA,no,no,no,often,Small,no,yes,no,not sure,no,no,not sure,somewhat difficult,yes,not sure,no,yes,no,no,no,no
45,30,male,united states of america,Indiana,no,no,yes,sometimes,Small,no,yes,not sure,no,no,no,not sure,not sure,no,no,no,no,no,not sure,not sure,no
46,38,female,united states of america,Texas,no,yes,yes,sometimes,Small,no,yes,yes,yes,no,yes,yes,somewhat easy,no,no,yes,yes,no,no,yes,no
47,28,male,united kingdom,NA,no,no,no,NA,Small,no,yes,not sure,not sure,no,no,not sure,not sure,no,not sure,yes,yes,not sure,yes,not sure,no
48,34,male,united states of america,Tennessee,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,not sure,no,no,yes,yes,not sure,yes,not sure,no
49,26,male,canada,NA,yes,no,no,sometimes,Small,no,yes,no,yes,yes,no,not sure,not sure,no,no,yes,yes,no,no,yes,no
50,30,male,united states of america,Illinois,no,yes,yes,rarely,Small,no,yes,yes,no,no,not sure,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
51,22,male,united states of america,Texas,no,yes,yes,often,Small,no,yes,no,yes,no,no,yes,very difficult,not sure,no,no,no,no,not sure,not sure,no
52,33,male,united states of america,Utah,no,no,no,NA,Medium,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,not sure,no
53,31,male,united states of america,NA,no,no,no,NA,Medium,yes,yes,not sure,no,not sure,not sure,not sure,not sure,not sure,not sure,yes,yes,not sure,not sure,not sure,no
54,32,male,united states of america,Tennessee,no,no,no,never,Small,yes,yes,not sure,not sure,no,no,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
55,28,male,switzerland,NA,no,no,no,NA,Medium,no,yes,no,no,no,no,not sure,not sure,no,no,no,no,no,not sure,not sure,no
56,27,male,united states of america,New York,no,yes,yes,rarely,Small,no,yes,yes,yes,no,no,yes,not sure,not sure,no,no,no,no,no,not sure,no
57,32,male,united states of america,Tennessee,no,yes,no,NA,Small,yes,yes,not sure,no,no,no,not sure,somewhat easy,no,no,yes,yes,no,no,yes,no
58,24,male,united states of america,New York,no,yes,yes,sometimes,Small,yes,yes,not sure,no,no,no,not sure,not sure,no,not sure,yes,yes,yes,yes,no,no
59,26,male,united states of america,Tennessee,no,no,no,NA,Small,no,no,no,no,no,no,yes,somewhat easy,no,no,yes,yes,not sure,yes,not sure,no
60,33,male,canada,NA,no,yes,yes,often,Small,yes,yes,not sure,no,no,no,no,somewhat difficult,yes,no,no,no,no,not sure,not sure,no
61,44,male,united states of america,Iowa,no,yes,yes,sometimes,Big,no,no,yes,no,no,not sure,not sure,not sure,yes,not sure,yes,no,no,not sure,not sure,yes
62,26,female,poland,NA,no,no,yes,sometimes,Small,yes,yes,not sure,not sure,yes,yes,yes,very easy,no,no,yes,yes,not sure,yes,yes,no
63,27,male,united kingdom,NA,no,no,no,never,Medium,no,yes,yes,not sure,no,yes,not sure,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
64,26,male,france,NA,no,no,no,NA,Small,no,yes,no,no,no,no,not sure,very easy,yes,no,no,no,no,no,no,yes
65,35,male,canada,NA,no,no,no,sometimes,Small,no,yes,not sure,no,no,no,not sure,somewhat easy,no,no,yes,yes,no,not sure,not sure,no
66,40,male,united states of america,California,no,yes,no,sometimes,Big,yes,yes,yes,yes,yes,yes,not sure,not sure,yes,not sure,yes,no,no,no,no,yes
67,23,female,australia,NA,no,yes,yes,often,Small,yes,yes,no,not sure,no,no,not sure,very easy,no,no,yes,yes,no,not sure,yes,no
68,36,male,united states of america,Texas,no,no,no,sometimes,Medium,yes,yes,yes,no,not sure,yes,not sure,not sure,not sure,no,yes,yes,not sure,yes,yes,no
69,31,female,united states of america,New Mexico,no,no,no,NA,Small,yes,no,not sure,no,not sure,not sure,not sure,not sure,not sure,no,yes,no,no,not sure,not sure,no
70,34,male,united states of america,New York,yes,no,no,rarely,Small,yes,yes,no,no,no,no,not sure,not sure,not sure,no,yes,no,no,no,not sure,no
71,28,male,france,NA,no,no,no,never,Small,no,yes,no,no,no,no,not sure,not sure,not sure,no,yes,yes,no,no,not sure,no
72,34,male,canada,NA,no,no,no,never,Small,no,yes,not sure,not sure,not sure,not sure,not sure,somewhat easy,no,no,yes,yes,no,no,not sure,no
73,23,female,united states of america,Massachusetts,no,no,no,rarely,Big,no,yes,yes,yes,no,no,yes,somewhat difficult,not sure,no,yes,yes,no,no,no,no
74,38,male,united kingdom,NA,no,no,no,NA,Small,no,yes,no,no,no,not sure,yes,somewhat easy,no,no,yes,yes,not sure,yes,yes,no
75,33,male,united states of america,California,no,no,no,never,Big,no,yes,not sure,not sure,yes,not sure,not sure,not sure,not sure,no,yes,yes,no,not sure,yes,no
76,19,male,united kingdom,NA,no,no,no,NA,Small,no,yes,no,yes,no,no,no,somewhat difficult,yes,no,no,no,no,not sure,no,no
77,25,male,united states of america,Washington,no,no,no,NA,Big,yes,yes,yes,yes,yes,yes,not sure,not sure,no,no,yes,yes,not sure,yes,yes,no
78,31,male,united states of america,Washington,yes,yes,no,sometimes,Small,yes,yes,no,no,no,no,yes,somewhat difficult,no,no,yes,yes,not sure,not sure,yes,no
79,32,male,united states of america,Utah,no,yes,yes,sometimes,Small,yes,yes,no,no,no,no,not sure,somewhat difficult,yes,no,yes,no,no,yes,no,no
80,28,male,germany,NA,no,no,no,never,Small,yes,yes,not sure,no,not sure,not sure,not sure,very easy,no,no,yes,yes,not sure,yes,yes,no
81,38,male,united states of america,New York,no,yes,no,sometimes,Medium,yes,yes,yes,yes,no,yes,not sure,not sure,no,no,yes,yes,not sure,not sure,yes,no
82,23,male,united kingdom,NA,no,no,no,never,Small,no,yes,yes,not sure,yes,not sure,not sure,very easy,no,no,yes,yes,not sure,not sure,yes,no
83,30,male,canada,NA,no,no,no,never,Small,no,no,no,no,no,no,not sure,not sure,no,no,yes,yes,no,no,no,no
84,27,female,united states of america,New York,yes,no,yes,often,Small,yes,yes,yes,yes,yes,yes,yes,very easy,not sure,not sure,yes,yes,no,not sure,yes,no
85,33,male,united states of america,California,no,yes,no,never,Big,no,yes,no,no,no,no,not sure,not sure,yes,no,no,no,no,not sure,no,no
86,31,male,united states of america,Texas,no,no,no,NA,Small,no,yes,not sure,not sure,no,no,not sure,not sure,no,no,yes,yes,not sure,not sure,no,no
87,39,male,united kingdom,NA,yes,no,yes,often,Small,no,yes,no,no,no,no,not sure,very difficult,not sure,no,yes,no,no,not sure,no,yes
88,34,female,united states of america,Oregon,no,yes,yes,rarely,Medium,yes,yes,yes,not sure,no,not sure,not sure,not sure,yes,not sure,yes,yes,no,no,not sure,no
89,29,female,united states of america,Florida,no,no,yes,sometimes,Small,no,yes,yes,yes,no,no,not sure,not sure,not sure,no,yes,yes,no,not sure,no,yes
90,32,male,united states of america,Illinois,no,no,no,NA,Medium,no,yes,not sure,no,no,not sure,not sure,not sure,no,no,yes,yes,no,no,not sure,no
91,31,male,united states of america,New York,no,no,no,never,Medium,no,yes,yes,yes,yes,yes,yes,somewhat easy,no,no,yes,yes,no,no,yes,no
92,40,male,united states of america,Texas,no,no,yes,sometimes,Small,no,yes,no,yes,no,no,yes,very difficult,no,no,yes,yes,yes,yes,no,no
93,34,male,united states of america,Ohio,no,no,no,NA,Small,no,yes,not sure,no,no,no,not sure,somewhat easy,not sure,no,yes,no,no,not sure,not sure,no
94,18,male,russia,NA,no,no,no,NA,Small,yes,yes,yes,yes,no,no,yes,somewhat easy,no,no,yes,yes,yes,yes,not sure,no
95,25,female,canada,NA,no,no,yes,sometimes,Small,no,yes,yes,yes,no,not sure,not sure,not sure,not sure,no,yes,yes,no,not sure,not sure,no
96,29,male,united states of america,Minnesota,no,no,no,never,Small,no,yes,not sure,no,no,not sure,not sure,not sure,no,no,yes,yes,not sure,not sure,no,no
97,24,male,united states of america,Missouri,no,yes,no,rarely,Small,no,yes,not sure,not sure,no,not sure,not sure,somewhat easy,not sure,not sure,yes,no,no,not sure,not sure,no
98,31,male,mexico,NA,no,yes,yes,sometimes,Small,no,yes,not sure,no,no,no,not sure,not sure,no,no,yes,yes,not sure,yes,no,no
99,33,male,united states of america,Arizona,no,no,yes,sometimes,Small,no,yes,no,yes,no,no,not sure,somewhat easy,not sure,no,yes,no,no,not sure,no,no
100,30,male,united states of america,Indiana,no,no,yes,often,Small,no,yes,no,yes,no,no,yes,somewhat easy,no,no,yes,yes,not sure,not sure,yes,no
